date,block,level,diversity,transect,quadrat,treat,taxa,replicate,area(cm),
7/4/2016,A,1,2,D,3,biomass,HEPA,1,7.223,
7/4/2016,A,1,2,D,3,biomass,HEPA,2,15.396,
7/4/2016,A,1,2,D,3,biomass,HEPA,3,5.193,
7/4/2016,A,1,2,D,3,biomass,HEPA,4,5.054,
7/4/2016,A,1,2,D,3,biomass,HEPA,5,12.991,
7/4/2016,A,1,2,D,3,biomass,MOFI,1,11.662,
7/4/2016,A,1,2,D,3,biomass,MOFI,2,9.236,
7/4/2016,A,1,2,D,3,biomass,MOFI,3,6.277,
7/4/2016,A,1,2,D,3,biomass,MOFI,4,8.898,
7/4/2016,A,1,2,D,3,biomass,MOFI,5,7.991,
7/4/2016,A,1,2,D,1,nitrogen,ANGE,1,37.076,
7/4/2016,A,1,2,D,1,nitrogen,ANGE,2,33.447,
7/4/2016,A,1,2,D,1,nitrogen,ANGE,3,26.956,
7/4/2016,A,1,2,D,1,nitrogen,ANGE,4,11.833,
7/4/2016,A,1,2,D,1,nitrogen,ANGE,5,17.533,
7/4/2016,A,1,2,D,4,bn,SOCA,1,4.58,
7/4/2016,A,1,2,D,4,bn,SOCA,2,7.884,
7/4/2016,A,1,2,D,4,bn,SOCA,3,8.591,
7/4/2016,A,1,2,D,4,bn,SOCA,4,10.39,
7/4/2016,A,1,2,D,4,bn,SOCA,5,8.028,
7/4/2016,A,1,2,D,4,bn,HEPA,1,11.124,
7/4/2016,A,1,2,D,4,bn,HEPA,2,15.362,
7/4/2016,A,1,2,D,4,bn,HEPA,3,14.76,
7/4/2016,A,1,2,D,4,bn,HEPA,4,12.166,
7/4/2016,A,1,2,D,4,bn,HEPA,5,14.267,
7/4/2016,A,1,2,D,3,biomass,SONU,1,21.195,
7/4/2016,A,1,2,D,3,biomass,SONU,2,26.198,
7/4/2016,A,1,2,D,3,biomass,SONU,3,18.126,
7/4/2016,A,1,2,D,3,biomass,SONU,4,24.911,
7/4/2016,A,1,2,D,3,biomass,SONU,5,28.396,
7/4/2016,A,1,2,D,3,biomass,ANGE,1,36.657,
7/4/2016,A,1,2,D,3,biomass,ANGE,2,33.068,
7/4/2016,A,1,2,D,3,biomass,ANGE,3,26.651,
7/4/2016,A,1,2,D,3,biomass,ANGE,4,11.699,
7/4/2016,A,1,2,D,3,biomass,ANGE,5,17.334,
7/4/2016,A,1,2,D,4,bn,SOCA,1,4.58,
7/4/2016,A,1,2,D,4,bn,SOCA,2,7.884,
7/4/2016,A,1,2,D,4,bn,SOCA,3,8.591,
7/4/2016,A,1,2,D,4,bn,SOCA,4,10.39,
7/4/2016,A,1,2,D,4,bn,SOCA,5,8.028,
7/4/2016,A,1,2,D,4,bn,HEMAX,1,11.124,
7/4/2016,A,1,2,D,4,bn,HEMAX,2,15.362,
7/4/2016,A,1,2,D,4,bn,HEMAX,3,14.76,
7/4/2016,A,1,2,D,4,bn,HEMAX,4,12.166,
7/4/2016,A,1,2,D,4,bn,HEMAX,5,14.267,
7/6/2016,A,1,2,D,2,rainout,HEMAX,1,19.632,
7/6/2016,A,1,2,D,2,rainout,HEMAX,2,6.432,
7/6/2016,A,1,2,D,2,rainout,HEMAX,3,9.508,
7/6/2016,A,1,2,D,2,rainout,HEMAX,4,11.845,
7/6/2016,A,1,2,D,2,rainout,HEMAX,5,9.91,
7/6/2016,A,1,2,D,2,rainout,MOFI,1,10.262,
7/6/2016,A,1,2,D,2,rainout,MOFI,2,5.969,
7/6/2016,A,1,2,D,2,rainout,MOFI,3,14.393,
7/6/2016,A,1,2,D,2,rainout,MOFI,4,16.831,
7/6/2016,A,1,2,D,2,rainout,MOFI,5,8.784,
7/6/2016,A,1,2,D,2,rainout,SOCA,1,7.373,
7/6/2016,A,1,2,D,2,rainout,SOCA,2,7.133,
7/6/2016,A,1,2,D,2,rainout,SOCA,3,5.309,
7/6/2016,A,1,2,D,2,rainout,SOCA,4,6.274,
7/6/2016,A,1,2,D,2,rainout,SOCA,5,4.737,
7/4/2016,A,3,2,D,1,biomass,ANGE,1,21.975,
7/4/2016,A,3,2,D,1,biomass,ANGE,2,23.161,
7/4/2016,A,3,2,D,1,biomass,ANGE,3,25.939,
7/4/2016,A,3,2,D,1,biomass,ANGE,4,29.814,
7/4/2016,A,3,2,D,1,biomass,ANGE,5,18.325,
7/4/2016,A,3,2,D,1,biomass,HEMAX,1,,0.02
7/4/2016,A,3,2,D,1,biomass,HEMAX,2,,0.04
7/4/2016,A,3,2,D,1,biomass,HEMAX,3,,0.18
7/4/2016,A,3,2,D,1,biomass,HEMAX,4,,0.07
7/4/2016,A,3,2,D,1,biomass,HEMAX,5,,0.15
7/4/2016,A,3,2,D,1,biomass,ANGE,6,17.981,
7/4/2016,A,3,2,D,2,bn,SONU,1,37.604,
7/4/2016,A,3,2,D,2,bn,SONU,2,50.957,
7/4/2016,A,3,2,D,2,bn,SONU,3,28.729,
7/4/2016,A,3,2,D,2,bn,SONU,4,41.238,
7/4/2016,A,3,2,D,2,bn,SONU,5,28.62,
7/4/2016,A,3,2,D,2,bn,SOMI,1,11.638,
7/4/2016,A,3,2,D,2,bn,SOMI,2,9.828,
7/4/2016,A,3,2,D,2,bn,SOMI,3,3.686,
7/4/2016,A,3,2,D,2,bn,SOMI,4,4.515,
7/4/2016,A,3,2,D,2,bn,SOMI,5,4.483,
7/6/2016,A,3,2,D,3,nitrogen,Forb,1,6.672,
7/6/2016,A,3,2,D,3,nitrogen,Forb,2,6.865,
7/6/2016,A,3,2,D,3,nitrogen,Forb,3,5.824,
7/6/2016,A,3,2,D,3,nitrogen,Forb,4,6.177,
7/6/2016,A,3,2,D,3,nitrogen,Forb,5,7.49,
7/4/2016,A,4,1,D,4,biomass,ANGE,1,22.365,
7/4/2016,A,4,1,D,4,biomass,ANGE,2,20.034,
7/4/2016,A,4,1,D,4,biomass,ANGE,3,11.548,
7/4/2016,A,4,1,D,4,biomass,ANGE,4,15.337,
7/4/2016,A,4,1,D,4,biomass,ANGE,5,13.302,
7/4/2016,A,4,1,D,4,biomass,Solidago,1,,0.03
7/4/2016,A,4,1,D,4,biomass,Solidago,2,,0.02
7/4/2016,A,4,1,D,4,biomass,Solidago,3,,0.05
7/4/2016,A,4,1,D,4,biomass,Solidago,4,,0.07
7/4/2016,A,4,1,D,4,biomass,Solidago,5,,0.03
7/4/2016,A,4,1,D,4,biomass,Solidago,6,,0.06
7/4/2016,A,4,1,D,3,bn,ANGE,1,34.562,
7/4/2016,A,4,1,D,3,bn,ANGE,2,24.069,
7/4/2016,A,4,1,D,3,bn,ANGE,3,18.656,
7/4/2016,A,4,1,D,3,bn,ANGE,4,29.836,
7/4/2016,A,4,1,D,3,bn,ANGE,5,27.299,
7/4/2016,A,4,1,D,3,bn,Solidago,1,6.223,
7/4/2016,A,4,1,D,3,bn,Solidago,2,6.311,
7/4/2016,A,4,1,D,3,bn,Solidago,3,8.84,
7/4/2016,A,4,1,D,3,bn,Solidago,4,6.651,
7/4/2016,A,4,1,D,3,bn,Solidago,5,5.807,
7/6/2016,A,4,1,C,1,control,Solidago,1,5.005,
7/6/2016,A,4,1,C,1,control,Solidago,2,8.192,
7/6/2016,A,4,1,C,1,control,Solidago,3,5.724,
7/6/2016,A,4,1,C,1,control,Solidago,4,7.734,
7/6/2016,A,4,1,C,1,control,Solidago,5,4.139,
7/6/2016,A,4,1,C,1,control,ANGE,1,20.577,
7/6/2016,A,4,1,C,1,control,ANGE,2,16.781,
7/6/2016,A,4,1,C,1,control,ANGE,3,18.14,
7/6/2016,A,4,1,C,1,control,ANGE,4,11.639,
7/6/2016,A,4,1,C,1,control,ANGE,5,15.98,
7/6/2016,A,4,1,C,2,control,ANGE,1,18.884,
7/6/2016,A,4,1,C,2,control,ANGE,2,19.706,
7/6/2016,A,4,1,C,2,control,ANGE,3,21.409,
7/6/2016,A,4,1,C,2,control,ANGE,4,18.066,
7/6/2016,A,4,1,C,2,control,ANGE,5,23.283,
7/6/2016,A,4,1,D,1,nitrogen,ANGE,1,26.93,
7/6/2016,A,4,1,D,1,nitrogen,ANGE,2,22.142,
7/6/2016,A,4,1,D,1,nitrogen,ANGE,3,26.859,
7/6/2016,A,4,1,D,1,nitrogen,ANGE,4,32.56,
7/6/2016,A,4,1,D,1,nitrogen,ANGE,5,22.759,
7/6/2016,A,4,1,D,2,rainout,ANGE,1,30.788,
7/6/2016,A,4,1,D,2,rainout,ANGE,2,21.308,
7/6/2016,A,4,1,D,2,rainout,ANGE,3,25.237,
7/6/2016,A,4,1,D,2,rainout,ANGE,4,20.359,
7/6/2016,A,4,1,D,2,rainout,ANGE,5,18.927,
7/6/2016,A,4,1,D,2,rainout,Solidago,1,5.24,
7/6/2016,A,4,1,D,2,rainout,Solidago,2,5.96,
7/6/2016,A,4,1,D,2,rainout,Solidago,3,5.584,
7/6/2016,A,4,1,D,2,rainout,Solidago,4,6.712,
7/6/2016,A,4,1,D,2,rainout,Solidago,5,5.877,
7/6/2016,A,4,1,C,2,control,Solidago,1,8.758,
7/6/2016,A,4,1,C,2,control,Solidago,2,5.428,
7/6/2016,A,4,1,C,2,control,Solidago,3,5.469,
7/6/2016,A,4,1,C,2,control,Solidago,4,7.102,
7/6/2016,A,4,1,C,2,control,Solidago,5,4.387,
7/4/2016,B,2,1,D,2,bn,SOCA,1,9.278,
7/4/2016,B,2,1,D,2,bn,SOCA,2,6.576,
7/4/2016,B,2,1,D,2,bn,SOCA,3,9.379,
7/4/2016,B,2,1,D,2,bn,SOCA,4,7.066,
7/4/2016,B,2,1,D,2,bn,SOCA,5,10.21,
7/4/2016,B,2,1,D,2,bn,SOCA,6,6.814,
7/4/2016,B,2,1,D,1,biomass,SOLIDAGO,1,5.787,
7/4/2016,B,2,1,D,1,biomass,SOLIDAGO,2,5.577,
7/4/2016,B,2,1,D,1,biomass,SOLIDAGO,3,4.695,
7/4/2016,B,2,1,D,1,biomass,SOLIDAGO,4,7.101,
7/4/2016,B,2,1,D,1,biomass,SOLIDAGO,5,5.03,
7/4/2016,B,2,1,D,2,bn,ANGE,1,31.567,
7/4/2016,B,2,1,D,2,bn,ANGE,2,29.166,
7/4/2016,B,2,1,D,2,bn,ANGE,3,25.712,
7/4/2016,B,2,1,D,2,bn,ANGE,4,29.119,
7/4/2016,B,2,1,D,2,bn,ANGE,5,16.472,
7/4/2016,B,2,1,D,1,biomass,ANGE,1,27.586,
7/4/2016,B,2,1,D,1,biomass,ANGE,2,20.536,
7/4/2016,B,2,1,D,1,biomass,ANGE,3,14.511,
7/4/2016,B,2,1,D,1,biomass,ANGE,4,20.399,
7/4/2016,B,2,1,D,1,biomass,ANGE,5,17.785,
7/4/2016,B,4,2,D,4,biomass,SONU,1,29.574,
7/4/2016,B,4,2,D,4,biomass,SONU,2,22.932,
7/4/2016,B,4,2,D,4,biomass,SONU,3,15.04,
7/4/2016,B,4,2,D,4,biomass,SONU,4,22.831,
7/4/2016,B,4,2,D,4,biomass,SONU,5,18.864,
7/4/2016,B,4,2,D,4,biomass,HEMAX,1,7.095,
7/4/2016,B,4,2,D,4,biomass,HEMAX,2,5.817,
7/4/2016,B,4,2,D,4,biomass,HEMAX,3,6.691,
7/4/2016,B,4,2,D,4,biomass,HEMAX,4,6.256,
7/4/2016,B,4,2,D,4,biomass,HEMAX,5,8.621,
7/4/2016,B,4,2,D,4,biomass,SOCA,1,2.789,
7/4/2016,B,4,2,D,4,biomass,SOCA,2,5.771,
7/4/2016,B,4,2,D,4,biomass,SOCA,3,3.544,
7/4/2016,B,4,2,D,4,biomass,SOCA,4,3.38,
7/4/2016,B,4,2,D,4,biomass,SOCA,5,3.248,
7/4/2016,B,4,2,D,4,biomass,MOFI,1,10.23,
7/4/2016,B,4,2,D,4,biomass,MOFI,2,7.277,
7/4/2016,B,4,2,D,4,biomass,MOFI,3,8.442,
7/4/2016,B,4,2,D,4,biomass,MOFI,4,8.708,
7/4/2016,B,4,2,D,4,biomass,MOFI,5,7.634,
7/4/2016,B,4,2,D,4,biomass,Licorice,1,20.24,
7/4/2016,B,4,2,D,4,biomass,Licorice,2,24.522,
7/4/2016,B,4,2,D,4,biomass,Licorice,3,21.69,
7/4/2016,B,4,2,D,4,biomass,Licorice,4,22.852,
7/4/2016,B,4,2,D,4,biomass,Licorice,5,24.668,
7/4/2016,B,4,2,D,4,biomass,ANGE,1,20.333,
7/4/2016,B,4,2,D,4,biomass,ANGE,2,23.997,
7/4/2016,B,4,2,D,4,biomass,ANGE,3,22.957,
7/4/2016,B,4,2,D,4,biomass,ANGE,4,19.435,
7/4/2016,B,4,2,D,4,biomass,ANGE,5,12.895,
7/4/2016,B,4,2,D,3,bn,MOFI,1,8.042,
7/4/2016,B,4,2,D,3,bn,MOFI,2,7.762,
7/4/2016,B,4,2,D,3,bn,MOFI,3,8.475,
7/4/2016,B,4,2,D,3,bn,MOFI,4,8.147,
7/4/2016,B,4,2,D,3,bn,MOFI,5,7.8,
7/4/2016,B,4,2,D,3,bn,MOFI,6,7.963,
7/4/2016,B,4,2,D,3,bn,ANGE,1,17.908,
7/4/2016,B,4,2,D,3,bn,ANGE,2,20.429,
7/4/2016,B,4,2,D,3,bn,ANGE,3,22.106,
7/4/2016,B,4,2,D,3,bn,ANGE,4,13.583,
7/4/2016,B,4,2,D,3,bn,ANGE,5,11.481,
7/6/2016,B,4,2,D,2,nitrogen,Licorice,1,26.139,
7/6/2016,B,4,2,D,2,nitrogen,Licorice,2,20.086,
7/6/2016,B,4,2,D,2,nitrogen,Licorice,3,28.056,
7/6/2016,B,4,2,D,2,nitrogen,Licorice,4,27.861,
7/6/2016,B,4,2,D,2,nitrogen,Licorice,5,48.028,
7/4/2016,C,1,1,D,3,,ANGE,1,29.876,
7/4/2016,C,1,1,D,3,cn,ANGE,2,29.133,
7/4/2016,C,1,1,D,3,cn,ANGE,3,16.793,
7/4/2016,C,1,1,D,3,cn,ANGE,4,16.756,
7/4/2016,C,1,1,D,3,cn,ANGE,5,32.38,
7/4/2016,C,1,1,D,1,cn,ANGE,1,22.527,
7/4/2016,C,1,1,D,1,cn,ANGE,2,23.942,
7/4/2016,C,1,1,D,1,cn,ANGE,3,18.133,
7/4/2016,C,1,1,D,1,cn,ANGE,4,11.909,
7/4/2016,C,1,1,D,1,cn,ANGE,5,26.43,
7/4/2016,C,1,1,D,1,cn,SOLIDAGO,1,8.573,
7/4/2016,C,1,1,D,1,cn,SOLIDAGO,2,4.833,
7/4/2016,C,1,1,D,1,cn,SOLIDAGO,3,4.034,
7/4/2016,C,1,1,D,1,cn,SOLIDAGO,4,4.307,
7/4/2016,C,1,1,D,1,cn,SOLIDAGO,5,4.836,
7/4/2016,C,1,1,D,1,cn,SOLIDAGO,6,2.808,
7/4/2016,C,1,1,D,3,cn,SOLIDAGO,1,7.087,
7/4/2016,C,1,1,D,3,cn,SOLIDAGO,2,5.87,
7/4/2016,C,1,1,D,3,cn,SOLIDAGO,3,6.692,
7/4/2016,C,1,1,D,3,cn,SOLIDAGO,4,5.335,
7/4/2016,C,1,1,D,3,cn,SOLIDAGO,5,6.11,
7/6/2016,C,1,1,C,1,cn,ANGE,1,26.221,
7/6/2016,C,1,1,C,1,cn,ANGE,2,19.396,
7/6/2016,C,1,1,C,1,cn,ANGE,3,21.116,
7/6/2016,C,1,1,C,1,cn,ANGE,4,30.794,
7/6/2016,C,1,1,C,1,cn,ANGE,5,28.777,
7/6/2016,C,1,1,C,2,cn,ANGE,1,22.474,
7/6/2016,C,1,1,C,2,cn,ANGE,2,35.703,
7/6/2016,C,1,1,C,2,cn,ANGE,3,16.824,
7/6/2016,C,1,1,C,2,cn,ANGE,4,22.145,
7/6/2016,C,1,1,C,2,cn,ANGE,5,18.886,
7/6/2016,C,1,1,C,2,nitrogen,Solidago,1,10.973,
7/6/2016,C,1,1,C,2,nitrogen,Solidago,2,7.384,
7/6/2016,C,1,1,C,2,nitrogen,Solidago,3,8.094,
7/6/2016,C,1,1,C,2,nitrogen,Solidago,4,9.308,
7/6/2016,C,1,1,C,2,nitrogen,Solidago,5,8.359,
7/6/2016,C,1,1,D,2,cn,ANGE,1,38.009,
7/6/2016,C,1,1,D,2,cn,ANGE,2,29.522,
7/6/2016,C,1,1,D,2,cn,ANGE,3,31.779,
7/6/2016,C,1,1,D,2,cn,ANGE,4,38.643,
7/6/2016,C,1,1,D,2,cn,ANGE,5,17.507,
7/6/2016,C,1,1,D,2,nitrogen,Solidago,1,7.236,
7/6/2016,C,1,1,D,2,nitrogen,Solidago,2,6.702,
7/6/2016,C,1,1,D,2,nitrogen,Solidago,3,4.574,
7/6/2016,C,1,1,D,2,nitrogen,Solidago,4,5.122,
7/6/2016,C,1,1,D,2,nitrogen,Solidago,5,7.684,
7/6/2016,C,1,1,D,4,nitrogen,Solidago,1,5.244,
7/6/2016,C,1,1,D,4,nitrogen,Solidago,2,4.451,
7/6/2016,C,1,1,D,4,nitrogen,Solidago,3,4.588,
7/6/2016,C,1,1,D,4,nitrogen,Solidago,4,6.053,
7/6/2016,C,1,1,D,4,nitrogen,Solidago,5,7.587,
7/6/2016,C,1,1,D,4,cn,ANGE,1,23.181,
7/6/2016,C,1,1,D,4,cn,ANGE,2,26.28,
7/6/2016,C,1,1,D,4,cn,ANGE,3,22.479,
7/6/2016,C,1,1,D,4,cn,ANGE,4,27.837,
7/6/2016,C,1,1,D,4,cn,ANGE,5,13.541,
7/6/2016,C,1,1,C,1,nitrogen,Solidago,1,9.246,
7/6/2016,C,1,1,C,1,nitrogen,Solidago,2,8.367,
7/6/2016,C,1,1,C,1,nitrogen,Solidago,3,6.645,
7/6/2016,C,1,1,C,1,nitrogen,Solidago,4,10.207,
7/6/2016,C,1,1,C,1,nitrogen,Solidago,5,7.689,
7/4/2016,C,2,2,D,2,biomass,SONU,1,23.506,
7/4/2016,C,2,2,D,2,biomass,SONU,2,20.123,
7/4/2016,C,2,2,D,2,biomass,SONU,3,26.455,
7/4/2016,C,2,2,D,2,biomass,SONU,4,22.05,
7/4/2016,C,2,2,D,2,biomass,SONU,5,12.304,
7/4/2016,C,2,2,D,2,biomass,MOFI,1,4.827,
7/4/2016,C,2,2,D,2,biomass,MOFI,2,7.356,
7/4/2016,C,2,2,D,2,biomass,MOFI,3,7.931,
7/4/2016,C,2,2,D,2,biomass,MOFI,4,6.437,
7/4/2016,C,2,2,D,2,biomass,MOFI,5,7.248,
7/4/2016,C,2,2,D,2,biomass,SOMI,1,10.489,
7/4/2016,C,2,2,D,2,biomass,SOMI,2,7.139,
7/4/2016,C,2,2,D,2,biomass,SOMI,3,3.618,
7/4/2016,C,2,2,D,2,biomass,SOMI,4,1.954,
7/4/2016,C,2,2,D,2,biomass,SOMI,5,3.834,
7/4/2016,C,2,2,D,2,biomass,ANGE,1,15.472,
7/4/2016,C,2,2,D,2,biomass,ANGE,2,32.34,
7/4/2016,C,2,2,D,2,biomass,ANGE,3,10.341,
7/4/2016,C,2,2,D,2,biomass,ANGE,4,12.552,
7/4/2016,C,2,2,D,2,biomass,ANGE,5,10.636,
7/4/2016,C,2,2,D,1,bn,SOGI,1,6.001,
7/4/2016,C,2,2,D,1,bn,SOGI,2,6.431,
7/4/2016,C,2,2,D,1,bn,SOGI,3,5.788,
7/4/2016,C,2,2,D,1,bn,SOGI,4,5.173,
7/4/2016,C,2,2,D,1,bn,SOGI,5,5.064,
7/4/2016,C,2,2,D,1,bn,SOGI,6,3.317,
7/4/2016,C,2,2,D,1,bn,MOFI,1,12.649,
7/4/2016,C,2,2,D,1,bn,MOFI,2,12.036,
7/4/2016,C,2,2,D,1,bn,MOFI,3,8.824,
7/4/2016,C,2,2,D,1,bn,MOFI,4,9.304,
7/4/2016,C,2,2,D,1,bn,MOFI,5,5.353,
7/4/2016,C,2,2,D,1,bn,ANGE,1,13.534,
7/4/2016,C,2,2,D,1,bn,ANGE,2,19.614,
7/4/2016,C,2,2,D,1,bn,ANGE,3,16.578,
7/4/2016,C,2,2,D,1,bn,ANGE,4,11.59,
7/4/2016,C,2,2,D,1,bn,ANGE,5,10.629,
7/4/2016,C,2,2,D,1,bn,ANGE,6,17.536,
7/6/2016,C,2,2,C,1,control,ANGE,1,22.641,
7/6/2016,C,2,2,C,1,control,ANGE,2,21.943,
7/6/2016,C,2,2,C,1,control,ANGE,3,17.812,
7/6/2016,C,2,2,C,1,control,ANGE,4,13.89,
7/6/2016,C,2,2,C,1,control,ANGE,5,12.136,
7/6/2016,C,2,2,C,1,control,HEPA,1,10,
7/6/2016,C,2,2,C,1,control,HEPA,2,6.072,
7/6/2016,C,2,2,C,1,control,HEPA,3,13.125,
7/6/2016,C,2,2,C,1,control,HEPA,4,14.899,
7/6/2016,C,2,2,C,1,control,HEPA,5,6.803,
7/6/2016,C,2,2,C,1,control,MOFI,1,7.327,
7/6/2016,C,2,2,C,1,control,MOFI,2,9.543,
7/6/2016,C,2,2,C,1,control,MOFI,3,9.174,
7/6/2016,C,2,2,C,1,control,MOFI,4,7.84,
7/6/2016,C,2,2,C,1,control,MOFI,5,5.063,
7/6/2016,C,2,2,C,1,control,SOGI,1,9.411,
7/6/2016,C,2,2,C,1,control,SOGI,2,13.598,
7/6/2016,C,2,2,C,1,control,SOGI,3,11.9,
7/6/2016,C,2,2,C,1,control,SOGI,4,15.681,
7/6/2016,C,2,2,C,1,control,SOGI,5,12.487,
7/6/2016,C,2,2,C,1,control,SONU,1,13.923,
7/6/2016,C,2,2,C,1,control,SONU,2,23.216,
7/6/2016,C,2,2,C,1,control,SONU,3,21.935,
7/6/2016,C,2,2,C,1,control,SONU,4,26.376,
7/6/2016,C,2,2,C,1,control,SONU,5,26.744,
7/6/2016,C,2,2,C,2,control,ANGE,1,30.817,
7/6/2016,C,2,2,C,2,control,ANGE,2,17.162,
7/6/2016,C,2,2,C,2,control,ANGE,3,38.068,
7/6/2016,C,2,2,C,2,control,ANGE,4,28.634,
7/6/2016,C,2,2,C,2,control,ANGE,5,14.516,
7/6/2016,C,2,2,C,2,control,MOFI,1,6.368,
7/6/2016,C,2,2,C,2,control,MOFI,2,11.996,
7/6/2016,C,2,2,C,2,control,MOFI,3,7.233,
7/6/2016,C,2,2,C,2,control,MOFI,4,8.195,
7/6/2016,C,2,2,C,2,control,MOFI,5,5.882,
7/6/2016,C,2,2,D,4,control,MOFI,1,9.467,
7/6/2016,C,2,2,D,4,control,MOFI,2,7.419,
7/6/2016,C,2,2,D,4,control,MOFI,3,11.419,
7/6/2016,C,2,2,D,4,control,MOFI,4,8.14,
7/6/2016,C,2,2,C,2,control,SONU,1,9.903,
7/6/2016,C,2,2,C,2,control,SONU,2,11.07,
7/6/2016,C,2,2,C,2,control,SONU,3,12.111,
7/6/2016,C,2,2,C,2,control,SONU,4,14.126,
7/6/2016,C,2,2,C,2,control,SONU,5,16.092,
7/6/2016,C,2,2,D,3,nitrogen,MOFI,1,13.954,
7/6/2016,C,2,2,D,3,nitrogen,MOFI,2,8.878,
7/6/2016,C,2,2,D,3,nitrogen,MOFI,3,5.811,
7/6/2016,C,2,2,D,3,nitrogen,MOFI,4,12.656,
7/6/2016,C,2,2,D,3,nitrogen,MOFI,5,8.719,
7/6/2016,C,2,2,D,3,nitrogen,SOCA,1,3.974,
7/6/2016,C,2,2,D,3,nitrogen,SOCA,2,5.349,
7/6/2016,C,2,2,D,3,nitrogen,SOCA,3,7.444,
7/6/2016,C,2,2,D,3,nitrogen,SOCA,4,4.646,
7/6/2016,C,2,2,D,3,nitrogen,SOCA,5,2.826,
7/6/2016,C,2,2,D,3,nitrogen,PAVI,1,26.228,
7/6/2016,C,2,2,D,3,nitrogen,PAVI,2,32.281,
7/6/2016,C,2,2,D,3,nitrogen,PAVI,3,30.701,
7/6/2016,C,2,2,D,3,nitrogen,PAVI,4,32.68,
7/6/2016,C,2,2,D,3,nitrogen,PAVI,5,32.612,
7/6/2016,C,2,2,D,4,rainout,ANGE,1,19.757,
7/6/2016,C,2,2,D,4,rainout,ANGE,2,25.581,
7/6/2016,C,2,2,D,4,rainout,ANGE,3,17.464,
7/6/2016,C,2,2,D,4,rainout,ANGE,4,25.316,
7/6/2016,C,2,2,D,4,rainout,ANGE,5,19.903,
7/6/2016,C,2,2,D,4,rainout,HEMAX,1,14.759,
7/6/2016,C,2,2,D,4,rainout,HEMAX,2,15.609,
7/6/2016,C,2,2,D,4,rainout,HEMAX,3,6.611,
7/6/2016,C,2,2,D,4,rainout,HEMAX,4,14.51,
7/4/2016,C,4,1,D,4,bn,SOLIDAGO,1,4.113,
7/4/2016,C,4,1,D,4,bn,SOLIDAGO,2,7.358,
7/4/2016,C,4,1,D,4,bn,SOLIDAGO,3,4.347,
7/4/2016,C,4,1,D,4,bn,SOLIDAGO,4,5.427,
7/4/2016,C,4,1,D,4,bn,SOLIDAGO,5,5.617,
7/4/2016,C,4,1,D,4,bn,ANGE,1,16.229,
7/4/2016,C,4,1,D,4,bn,ANGE,2,20.67,
7/4/2016,C,4,1,D,4,bn,ANGE,3,23.778,
7/4/2016,C,4,1,D,4,bn,ANGE,4,18.654,
7/4/2016,C,4,1,D,4,bn,ANGE,5,18.803,
7/4/2016,C,4,1,D,1,rainout,SOLIDAGO,1,7.407,
7/4/2016,C,4,1,D,1,rainout,SOLIDAGO,2,4.636,
7/4/2016,C,4,1,D,1,rainout,SOLIDAGO,3,7.539,
7/4/2016,C,4,1,D,1,rainout,SOLIDAGO,4,7.775,
7/4/2016,C,4,1,D,1,rainout,SOLIDAGO,5,6.772,
7/4/2016,C,4,1,D,1,rainout,SOLIDAGO,6,8.968,
7/4/2016,C,4,1,D,1,rainout,ANGE,1,20.67,
7/4/2016,C,4,1,D,1,rainout,ANGE,2,23.648,
7/4/2016,C,4,1,D,1,rainout,ANGE,3,25.642,
7/4/2016,C,4,1,D,1,rainout,ANGE,4,14.997,
7/4/2016,C,4,1,D,1,rainout,ANGE,5,22.667,
