year,block,level,diversity,transect,treat,UTM_east, UTM_north,sample,pH,solvita(ppmC),emn,biomass_C,Omloi,kclN,WEONppm_15,WEOCppm_15,OC_ON
2016,C,1,low,O,no,534648.1,4510500,1,NA,26.4,13.2,528,1.9,12.27,NA,NA,NA
2016,C,1,low,O,no,534640.6,4510496,2,NA,25.2,12.6,504,1.3,6.98,NA,NA,NA
2016,C,1,low,O,no,534614.3,4510504,3,NA,21.1,10.6,422,1.3,7.04,NA,NA,NA
2016,C,2,high,O,no,534623.1,4510445,1,NA,29,14.5,580,2,2.82,NA,NA,NA
2016,C,2,high,O,no,534624.9,4510443,2,NA,30.3,15.1,606,1.8,7.03,NA,NA,NA
2016,C,2,high,O,no,534677.6,4510463,3,NA,36.4,18.2,728,1.7,4.04,NA,NA,NA
2016,C,3,mid,O,no,534697.3,4510371,1,NA,33.1,16.5,662,2,0.28,NA,NA,NA
2016,C,3,mid,O,no,534688,4510364,2,NA,45.5,22.8,910,1.7,10.97,NA,NA,NA
2016,C,3,mid,O,no,534660,4510360,3,NA,30.3,15.1,606,1.9,11.27,NA,NA,NA
2016,C,4,low,O,no,534686.5,4510304,1,NA,25.2,12.6,504,2.6,5.3,NA,NA,NA
2016,C,4,low,O,no,534708.6,4510324,2,NA,19.2,9.6,384,2.1,7.27,NA,NA,NA
2016,C,4,low,O,no,534660.3,4510307,3,NA,2.42,12.1,484,2,11.57,NA,NA,NA
2016,B,1,mid,O,no,534559.1,4510479,1,NA,36.4,18.2,728,1.6,8.72,NA,NA,NA
2016,B,1,mid,O,no,534572.8,4510470,2,NA,39.8,19.9,796,1.8,10.57,NA,NA,NA
2016,B,1,mid,O,no,534562.8,4510503,3,NA,26.4,13.2,528,1.4,11.27,NA,NA,NA
2016,B,2,low,O,no,534564.8,4510384,1,NA,24.2,12.1,484,1.6,7.83,NA,NA,NA
2016,B,2,low,O,no,534562.9,4510423,2,NA,33.1,16.5,662,2.1,8.6,NA,NA,NA
2016,B,2,low,O,no,534570,4510396,3,NA,27.7,13.9,554,1.8,11.47,NA,NA,NA
2016,B,3,mid,O,no,534562.4,4510325,1,NA,33.1,16.5,662,2,9.01,NA,NA,NA
2016,B,3,mid,O,no,534558,4510358,2,NA,30.3,15.1,606,1.8,11.47,NA,NA,NA
2016,B,3,mid,O,no,534567.7,4510341,3,NA,47.8,23.9,956,1.8,11.57,NA,NA,NA
2016,B,4,high,O,no,534589.7,4510253,1,NA,17.5,8.8,350,1.7,8.86,NA,NA,NA
2016,B,4,high,O,no,534606.8,4510305,2,NA,74.6,37.3,1492,2,9.87,NA,NA,NA
2016,B,4,high,O,no,534572.7,4510275,3,NA,36.4,18.2,728,2,10.57,NA,NA,NA
2016,A,1,high,O,no,534466.9,4510430,1,NA,41.5,20.8,830,1.8,9.77,NA,NA,NA
2016,A,1,high,O,no,534498.7,4510414,2,NA,33.1,16.5,662,1.8,9.2,NA,NA,NA
2016,A,1,high,O,no,534465.9,4510446,3,NA,39.8,19.9,796,2.1,7.73,NA,NA,NA
2016,A,2,mid,O,no,534492.1,4510360,1,NA,26.4,13.2,528,1.5,12.37,NA,NA,NA
2016,A,2,mid,O,no,534468.7,4510316,2,NA,27.7,13.9,554,1.5,11.37,NA,NA,NA
2016,A,2,mid,O,no,534515,4510339,3,NA,24.2,12.1,484,1.6,9.05,NA,NA,NA
2016,A,3,high,O,no,534512.3,4510260,1,NA,31.6,15.8,632,2,13.7,NA,NA,NA
2016,A,3,high,O,no,534499.6,4510281,2,NA,33.1,16.5,662,1.9,9.67,NA,NA,NA
2016,A,3,high,O,no,534489.2,4510300,3,NA,27.7,13.9,554,1.8,8.93,NA,NA,NA
2016,A,4,low,O,no,534510.9,4510201,1,NA,18.4,9.2,368,1.9,7.03,NA,NA,NA
2016,A,4,low,O,no,534535.5,4510208,2,NA,14.6,7.3,292,2.1,13.67,NA,NA,NA
2016,A,4,low,O,no,534497.4,4510232,3,NA,24.2,12.1,484,2.2,13.77,NA,NA,NA
2016,C,1,low,D1,biomass,534636.6,4510510,1,NA,23,11.5,460,na,9.47,NA,NA,NA
2016,C,1,low,D2,nitrogen,534637.8,4510510,1,NA,22.1,11.1,442,na,8.12,NA,NA,NA
2016,C,1,low,D3,biomass_nitrogen,534638.1,4510508,1,NA,34.7,17.4,694,na,9.37,NA,NA,NA
2016,C,1,low,D4,rainout,534636.9,4510507,1,NA,23,11.5,460,na,9.02,NA,NA,NA
2016,C,1,low,C1,control_1,534640.3,4510509,1,NA,18.4,9.2,368,na,11.57,NA,NA,NA
2016,C,1,low,C2,control_2,534642.3,4510510,1,NA,43.5,21.8,870,na,4.7,NA,NA,NA
2016,C,2,high,D1,biomass_nitrogen,534650.7,4510448,1,NA,29,14.5,580,na,7.43,NA,NA,NA
2016,C,2,high,D2,biomass,534652.6,4510448,1,NA,31.6,15.8,632,na,7.62,NA,NA,NA
2016,C,2,high,D3,nitrogen,534653.1,4510446,1,NA,23,11.5,460,na,7.47,NA,NA,NA
2016,C,2,high,D4,rainout,534651.7,4510445,1,NA,24.2,12.1,484,na,7.98,NA,NA,NA
2016,C,2,high,C1,control_1,534655.4,4510447,1,NA,20.2,10.1,404,na,8.82,NA,NA,NA
2016,C,2,high,C2,control_2,534657.1,4510447,1,NA,34.7,17.4,694,na,8.1,NA,NA,NA
2016,C,4,high,D1,rainout,534684,4510315,1,NA,19.2,9.6,384,na,10.37,NA,NA,NA
2016,C,4,high,D2,nitrogen ,534684.9,4510315,1,NA,18.4,9.2,368,na,8.97,NA,NA,NA
2016,C,4,high,D3,biomass,534685.8,4510313,1,NA,29,14.5,580,na,17.37,NA,NA,NA
2016,C,4,high,D4,biomass_nitrogen,534684.2,4510313,1,NA,16.1,8.1,322,na,10.97,NA,NA,NA
2016,C,4,high,C1,control_1,534687.3,4510314,1,NA,23,11.5,460,na,15.77,NA,NA,NA
2016,C,4,high,C2,control_2,534689.1,4510315,1,NA,20.2,10.1,404,na,9.57,NA,NA,NA
2016,B,2,low,D1,biomass,534570,4510405,1,NA,45.5,22.8,910,na,10.87,NA,NA,NA
2016,B,2,low,D2,biomass_nitrogen,534571.7,4510405,1,NA,29,14.5,580,na,10.97,NA,NA,NA
2016,B,2,low,D3,nitrogen,534571.4,4510403,1,NA,33.1,16.5,662,na,12.27,NA,NA,NA
2016,B,2,low,D4,rainout,534569.8,4510403,1,NA,34.7,17.4,694,na,12.97,NA,NA,NA
2016,B,2,low,C1,control_1,534573.5,4510404,1,NA,31.6,15.8,632,na,12.27,NA,NA,NA
2016,B,2,low,C2,control_2,534351,4510403,1,NA,33.1,16.5,662,na,13.77,NA,NA,NA
2016,B,4,high,D1,rainout,534599.2,4510279,1,NA,29,14.5,580,na,12.37,NA,NA,NA
2016,B,4,high,D2,nitrogen,534600.6,4510279,1,NA,38.1,19,762,na,15.47,NA,NA,NA
2016,B,4,high,D3,biomass_nitrogen,534601.1,4510276,1,NA,23,11.5,460,na,10.57,NA,NA,NA
2016,B,4,high,D4,biomass,534599.2,4510276,1,NA,27.7,13.9,554,na,12.57,NA,NA,NA
2016,B,4,high,C1,control_1,534603,4510278,1,NA,33.1,16.5,662,na,12.67,NA,NA,NA
2016,B,4,high,C2,control_2,534604.8,4510279,1,NA,25.2,12.6,504,na,12.47,NA,NA,NA
2016,A,1,high,D1,nitrogen,534474.9,4510421,1,NA,33.1,1.65,662,na,15.87,NA,NA,NA
2016,A,1,high,D2,rainout,534476.4,4510422,1,NA,36.4,18.2,728,na,5.17,NA,NA,NA
2016,A,1,high,D3,biomass,534476.6,4510419,1,NA,39.8,19.9,796,na,10.47,NA,NA,NA
2016,A,1,high,D4,biomass_nitrogen,534475.4,4510419,1,NA,38.1,19,762,na,11.27,NA,NA,NA
2016,A,1,high,C1,control_1,534479,4510421,1,NA,29,14.5,580,na,8.91,NA,NA,NA
2016,A,1,high,C2,control_2,534494.2,4510359,1,NA,30.3,15.1,606,na,12.67,NA,NA,NA
2016,A,3,high,D1,biomass ,534506.3,4510141,1,NA,36.4,18.2,728,na,11.47,NA,NA,NA
2016,A,3,high,D2,biomass_nitrogen,534507.1,4510284,1,NA,47.8,23.9,956,na,13.37,NA,NA,NA
2016,A,3,high,D3,nitrogen,534507.2,4510281,1,NA,47.8,23.9,956,na,10.07,NA,NA,NA
2016,A,3,high,D4,rainout,534506.1,4510281,1,NA,52.3,26.1,1046,na,10.47,NA,NA,NA
2016,A,3,high,C1,control_1,534509.6,4510282,1,NA,50,25,1000,na,10.47,NA,NA,NA
2016,A,3,high,C2,control_2,534510.8,4510283,1,NA,39.8,19.9,796,na,11.87,NA,NA,NA
2016,A,4,low,D1,nitrogen,534520.2,4510216,1,NA,19.2,9.6,384,na,9.27,NA,NA,NA
2016,A,4,low,D2,rainout,534521.6,4510216,1,NA,26.4,13.2,528,na,7.56,NA,NA,NA
2016,A,4,low,D3,biomass_nitrogen,534521.6,4510214,1,NA,12.2,6.1,244,na,9.13,NA,NA,NA
2016,A,4,low,D4,biomass,534520.2,4510213,1,NA,22.1,11.1,442,na,11.57,NA,NA,NA
2016,A,4,low,C1,control_1,534524.3,4510215,1,NA,19.2,9.6,384,na,12.87,NA,NA,NA
2016,A,4,low,C2,control_2,534526.5,4510215,1,NA,19.2,9.6,384,na,8.06,NA,NA,NA
2015,C,1,low,D1,biomass,534636.6,4510510,1,6.8,52.3,,,1.1,,12.4,138,11.1
2015,C,1,low,D2,nitrogen,534637.8,4510510,1,6.9,52.3,,,1,,12.2,150,12.3
2015,C,1,low,D3,biomass_nitrogen,534638.1,4510508,1,7.1,50,,,1.2,,12.1,139,11.5
2015,C,1,low,D4,rainout,534636.9,4510507,1,7.1,57.2,,,1,,10.4,122,11.8
2015,C,1,low,C1,control_1,534640.3,4510509,1,6.6,57.2,,,1.2,,12,119,9.9
2015,C,1,low,C2,control_2,534642.3,4510510,1,6.6,34.7,,,1.1,,11,118,10.7
2015,C,2,high,D1,biomass_nitrogen,534650.7,4510448,1,6.6,54.5,,,1.4,,12.1,167,13.8
2015,C,2,high,D2,biomass,534652.6,4510448,1,6.7,47.8,,,1.8,,14.1,169,11.9
2015,C,2,high,D3,nitrogen,534653.1,4510446,1,6.9,65.7,,,1.6,,14,159,11.4
2015,C,2,high,D4,rainout,534651.7,4510445,1,6.6,59.7,,,1.7,,14,167,11.9
2015,C,2,high,C1,control_1,534655.4,4510447,1,6.4,86.3,,,1.9,,15.8,180,11.4
2015,C,2,high,C2,control_2,534657.1,4510447,1,6.4,74.6,,,1.8,,14.1,179,12.8
2015,C,4,high,D1,rainout,534684,4510315,1,8,41.5,,,2.4,,14.4,163,11.4
2015,C,4,high,D2,nitrogen ,534684.9,4510315,1,8.1,38.1,,,2.4,,13.1,165,12.6
2015,C,4,high,D3,biomass,534685.8,4510313,1,8,62.7,,,2.9,,14.2,177,12.4
2015,C,4,high,D4,biomass_nitrogen,534684.2,4510313,1,8.2,57.2,,,2.3,,13.2,164,12.4
2015,C,4,high,C1,control_1,534687.3,4510314,1,8.1,36.4,,,2.3,,13.8,158,11.5
2015,C,4,high,C2,control_2,534689.1,4510315,1,7.8,36.4,,,2.1,,13.7,160,11.7
2015,B,2,low,D1,biomass,534570,4510405,1,6.6,68.7,,,1.7,,13.8,148,10.7
2015,B,2,low,D2,biomass_nitrogen,534571.7,4510405,1,6.8,65.7,,,1.7,,13,144,11.1
2015,B,2,low,D3,nitrogen,534571.4,4510403,1,6.5,59.7,,,1.7,,13.3,141,10.7
2015,B,2,low,D4,rainout,534569.8,4510403,1,6.6,57.2,,,2.3,,15.6,165,10.6
2015,B,2,low,C1,control_1,534573.5,4510404,1,6.7,62.7,,,1.9,,13.3,154,11.6
2015,B,2,low,C2,control_2,534351,4510403,1,6.7,74.6,,,1.7,,13.7,154,11.3
2015,B,4,high,D1,rainout,534599.2,4510279,1,7.6,71.6,,,2.5,,15.2,173,11.4
2015,B,4,high,D2,nitrogen,534600.6,4510279,1,7.7,78.4,,,2.7,,15.3,167,10.9
2015,B,4,high,D3,biomass_nitrogen,534601.1,4510276,1,7.8,65.7,,,2.4,,13.5,166,12.3
2015,B,4,high,D4,biomass,534599.2,4510276,1,7.8,78.4,,,2.3,,15.4,187,12.2
2015,B,4,high,C1,control_1,534603,4510278,1,7.6,52.3,,,2.4,,15.7,175,11.1
2015,B,4,high,C2,control_2,534604.8,4510279,1,7.5,57.2,,,1.9,,17,172,10.1
2015,A,1,high,D1,nitrogen,534474.9,4510421,1,7.6,71.6,,,2.5,,15.2,173,11.4
2015,A,1,high,D2,rainout,534476.4,4510422,1,6.9,30.3,,,1.9,,15.3,166,10.8
2015,A,1,high,D3,biomass,534476.6,4510419,1,6.9,59.7,,,2.1,,13.7,149,10.9
2015,A,1,high,D4,biomass_nitrogen,534475.4,4510419,1,7,52.3,,,1.9,,12.5,138,11
2015,A,1,high,C1,control_1,534479,4510421,1,6.9,47.8,,,1.8,,12.6,139,11
2015,A,1,high,C2,control_2,534494.2,4510359,1,6.9,74.6,,,1.6,,12.4,141,11.4
2015,A,3,high,D1,biomass ,534506.3,4510141,1,7.2,54.5,,,2,,12.2,139,11.4
2015,A,3,high,D2,biomass_nitrogen,534507.1,4510284,1,7.4,118.5,,,3.3,,15.1,169,11.2
2015,A,3,high,D3,nitrogen,534507.2,4510281,1,7,94.1,,,2,,14.8,155,10.5
2015,A,3,high,D4,rainout,534506.1,4510281,1,7.4,78.4,,,1.7,,13.4,154,11.6
2015,A,3,high,C1,control_1,534509.6,4510282,1,7.1,82.3,,,2.3,,16.8,176,10.5
2015,A,3,high,C2,control_2,534510.8,4510283,1,7.1,118.5,,,1.7,,15.1,220,14.6
2015,A,4,low,D1,nitrogen,534520.2,4510216,1,7.9,50,,,2.5,,14,162,11.6
2015,A,4,low,D2,rainout,534521.6,4510216,1,8,47.8,,,2.1,,15,181,12
2015,A,4,low,D3,biomass_nitrogen,534521.6,4510214,1,8,45.5,,,2.5,,12.5,149,11.9
2015,A,4,low,D4,biomass,534520.2,4510213,1,8,47.8,,,2.9,,14,163,11.7
2015,A,4,low,C1,control_1,534524.3,4510215,1,8,74.6,,,2.4,,12.9,167,12.9
2015,A,4,low,C2,control_2,534526.5,4510215,1,8,52.3,,,2.3,,14.6,183,12.5
