site,ange,glyle,hemax,hepa,mofi,pavi,silin,sogi,solidago,sonu
a  4 1 C1 1,243,0,0,0,0,0,0,0,192,0
a  4 1 C1 2,294,0,0,0,0,0,0,0,198,0
a  4 1 C1 3,268,0,0,0,0,0,0,0,205,0
a  4 1 C1 4,389,0,0,0,0,0,0,0,167,0
a  4 1 C1 5,351,0,0,0,0,0,0,0,217,0
a  4 1 C2 1,287,0,0,0,0,0,0,0,262,0
a  4 1 C2 2,306,0,0,0,0,0,0,0,217,0
a  4 1 C2 3,351,0,0,0,0,0,0,0,205,0
a  4 1 C2 4,281,0,0,0,0,0,0,0,198,0
a  4 1 C2 5,255,0,0,0,0,0,0,0,211,0
a 1 2 C1 1,382,0,325,0,179,0,0,0,0,465
a 1 2 C1 2,408,0,319,0,211,0,0,0,0,433
a 1 2 C1 3,363,0,351,0,186,0,0,0,0,414
a 1 2 C1 4,376,0,344,0,186,0,0,0,0,376
a 1 2 C1 5,370,0,332,0,173,0,0,0,0,382
a 1 2 C2 1,332,0,294,0,122,452,0,0,230,0
a 1 2 C2 2,370,0,255,0,167,370,0,0,198,0
a 1 2 C2 3,414,0,306,0,167,332,0,0,198,0
a 1 2 C2 4,382,0,306,0,135,275,0,0,167,0
a 1 2 C2 5,306,0,300,0,135,433,0,0,179,0
a 1 2 D1 1,391.5,0,319,0,192,0,0,0,0,401
a 1 2 D1 2,388.5,0,271,0,167,0,0,0,0,534.5
a 1 2 D1 3,404.5,0,316,0,122,0,0,0,0,376
a 1 2 D1 4,366.5,0,0,0,0,0,0,0,0,401
a 1 2 D1 5,417,0,0,0,0,0,0,0,0,420.5
a 1 2 D2 1,375,0,0,0,192,0,0,0,205,509
a 1 2 D2 2,452,0,0,0,205,0,0,0,255,452
a 1 2 D2 3,319,0,0,0,173,0,0,0,217,300
a 1 2 D2 4,325,0,0,0,186,0,0,0,275,357
a 1 2 D2 5,382,0,0,0,141,0,0,0,243,338
a 1 2 D3 1,363,0,0,0,0,0,0,0,0,433
a 1 2 D3 2,522,0,0,0,0,0,0,0,0,427
a 1 2 D3 3,503,0,0,0,0,0,0,0,0,420
a 1 2 D3 4,439,0,0,0,0,0,0,0,0,389
a 1 2 D3 5,351,0,0,0,0,0,0,0,0,408
a 1 2 D4 1,395,0,351,0,0,0,0,0,167,446
a 1 2 D4 2,389,0,325,0,0,0,0,0,224,534
a 1 2 D4 3,452,0,306,0,0,0,0,0,0,489
a 1 2 D4 4,446,0,294,0,0,0,0,0,0,420
a 1 2 D4 5,420,0,294,0,0,0,0,0,0,414
a 3 2 C1 1,332,0,262,0,0,0,281,0,0,389
a 3 2 C1 2,344,0,325,0,0,0,268,0,0,414
a 3 2 C1 3,363,0,230,0,0,0,236,0,0,446
a 3 2 C1 4,300,0,192,0,0,0,287,0,0,357
a 3 2 C1 5,395,0,332,0,0,0,198,0,0,325
a 3 2 C2 1,255,0,281,0,198,0,0,0,243,401
a 3 2 C2 2,275,0,325,0,224,0,0,0,255,376
a 3 2 C2 3,382,0,306,0,167,0,0,0,287,370
a 3 2 C2 4,325,0,243,0,173,0,0,0,306,351
a 3 2 C2 5,281,0,325,0,141,0,0,0,287,401
a 3 2 D2 1,427,0,0,0,0,0,0,0,465,0
a 3 2 D2 2,401,0,0,0,0,0,0,0,294,0
a 3 2 D2 3,471,0,0,0,0,0,0,0,433,0
a 3 2 D2 4,395,0,0,0,0,0,0,0,477,0
a 3 2 D2 5,490,0,0,0,0,0,0,0,338,0
a 3 2 D3 1,452,0,363,0,0,0,0,0,294,395
a 3 2 D3 2,395,0,332,0,0,0,0,0,249,439
a 3 2 D3 3,306,0,338,0,0,0,0,0,279,471
a 3 2 D3 4,401,0,370,0,0,0,0,0,243,414
a 3 2 D3 5,325,0,338,0,0,0,0,0,268,553
a 3 2 D4 1,0,0,236,0,167,0,0,0,370,395
a 3 2 D4 2,0,0,287,0,217,0,0,0,236,319
a 3 2 D4 3,0,0,294,0,198,0,0,0,306,262
a 3 2 D4 4,0,0,262,0,205,0,0,0,351,325
a 3 2 D4 5,0,0,306,0,211,0,0,0,319,338
a 4 1 D1 1,363,0,0,0,0,0,0,0,275,0
a 4 1 D1 2,395,0,0,0,0,0,0,0,236,0
a 4 1 D1 3,408,0,0,0,0,0,0,0,243,0
a 4 1 D1 4,490,0,0,0,0,0,0,0,186,0
a 4 1 D1 5,477,0,0,0,0,0,0,0,255,0
a 4 1 D2 1,465,0,0,0,0,0,0,0,249,0
a 4 1 D2 2,294,0,0,0,0,0,0,0,294,0
a 4 1 D2 3,249,0,0,0,0,0,0,0,224,0
a 4 1 D2 4,332,0,0,0,0,0,0,0,243,0
a 4 1 D2 5,363,0,0,0,0,0,0,0,205,0
a 4 1 D3 1,484,0,0,0,0,0,0,0,192,0
a 4 1 D3 2,370,0,0,0,0,0,0,0,154,0
a 4 1 D3 3,420,0,0,0,0,0,0,0,211,0
a 4 1 D3 4,294,0,0,0,0,0,0,0,173,0
a 4 1 D3 5,211,0,0,0,0,0,0,0,230,0
a 4 1 D4 1,389,0,0,0,0,0,0,0,268,0
a 4 1 D4 2,363,0,0,0,0,0,0,0,205,0
a 4 1 D4 3,338,0,0,0,0,0,0,0,141,0
a 4 1 D4 4,382,0,0,0,0,0,0,0,154,0
a 4 1 D4 5,325,0,0,0,0,0,0,0,154,0
b  4 2 D2 1,458,268,0,0,0,0,0,0,332,522
b  4 2 D2 2,414,287,0,0,0,0,0,0,370,401
b  4 2 D2 3,344,217,0,0,0,0,0,0,281,427
b  4 2 D2 4,439,281,0,0,0,0,0,0,275,439
b  4 2 D2 5,370,338,0,0,0,0,0,0,205,433
b 2 1 C1 1,401,0,0,0,0,0,0,0,148,0
b 2 1 C1 2,370,0,0,0,0,0,0,0,78,0
b 2 1 C1 3,319,0,0,0,0,0,0,0,154,0
b 2 1 C1 4,306,0,0,0,0,0,0,0,78,0
b 2 1 C1 5,439,0,0,0,0,0,0,0,236,0
b 2 1 C2 1,249,0,0,0,0,0,0,0,0,0
b 2 1 C2 2,382,0,0,0,0,0,0,0,0,0
b 2 1 C2 3,313,0,0,0,0,0,0,0,0,0
b 2 1 C2 4,249,0,0,0,0,0,0,0,0,0
b 2 1 C2 5,268,0,0,0,0,0,0,0,0,0
b 2 1 D1 1,382,0,0,0,0,0,0,0,154,0
b 2 1 D1 2,420,0,0,0,0,0,0,0,129,0
b 2 1 D1 3,357,0,0,0,0,0,0,0,122,0
b 2 1 D1 4,325,0,0,0,0,0,0,0,103,0
b 2 1 D1 5,357,0,0,0,0,0,0,0,198,0
b 2 1 D2 1,414,0,0,0,0,0,0,0,224,0
b 2 1 D2 2,433,0,0,0,0,0,0,0,198,0
b 2 1 D2 3,458,0,0,0,0,0,0,0,268,0
b 2 1 D2 4,370,0,0,0,0,0,0,0,0,0
b 2 1 D2 5,382,0,0,0,0,0,0,0,0,0
b 2 1 D3 1,395,0,0,0,0,0,0,0,351,0
b 2 1 D3 2,408,0,0,0,0,0,0,0,306,0
b 2 1 D3 3,427,0,0,0,0,0,0,0,319,0
b 2 1 D3 4,439,0,0,0,0,0,0,0,281,0
b 2 1 D3 5,427,0,0,0,0,0,0,0,338,0
b 2 1 D4 1,306,0,0,0,0,0,0,0,224,0
b 2 1 D4 2,351,0,0,0,0,0,0,0,306,0
b 2 1 D4 3,244,0,0,0,0,0,0,0,262,0
b 2 1 D4 4,370,0,0,0,0,0,0,0,306,0
b 2 1 D4 5,338,0,0,0,0,0,0,0,192,0
b 4 2 C1 1,382,255,0,0,192,0,0,0,243,465
b 4 2 C1 2,357,217,0,0,129,0,0,0,249,414
b 4 2 C1 3,363,294,0,0,169,0,0,0,249,471
b 4 2 C1 4,370,275,0,0,169,0,0,0,249,420
b 4 2 C1 5,338,319,0,0,122,0,0,0,262,414
b 4 2 C2 1,281,294,313,0,179,0,0,0,0,363
b 4 2 C2 2,414,332,287,0,129,0,0,0,0,319
b 4 2 C2 3,313,300,275,0,135,0,0,0,0,427
b 4 2 C2 4,294,300,306,0,135,0,0,0,0,446
b 4 2 C2 5,275,306,351,0,141,0,0,0,0,458
b 4 2 D1 1,319,211,313,0,173,0,0,230,0,357
b 4 2 D1 2,287,230,313,0,211,0,0,192,0,370
b 4 2 D1 3,382,243,294,0,236,0,0,224,0,395
b 4 2 D1 4,249,249,281,0,160,0,0,224,0,275
b 4 2 D1 5,205,268,313,0,198,0,0,167,0,287
b 4 2 D3 1,382,294,0,0,53,0,0,0,0,458
b 4 2 D3 2,370,173,0,0,129,0,0,0,0,395
b 4 2 D3 3,408,160,0,0,141,0,0,0,0,401
b 4 2 D3 4,433,0,0,0,129,0,0,0,0,420
b 4 2 D3 5,446,0,0,0,135,0,0,0,0,338
b 4 2 D4 1,433,217,0,0,0,0,0,0,135,382
b 4 2 D4 2,363,141,0,0,0,0,0,0,135,408
b 4 2 D4 3,313,148,0,0,0,0,0,0,306,401
b 4 2 D4 4,389,122,0,0,0,0,0,0,0,395
b 4 2 D4 5,351,116,0,0,0,0,0,0,0,389
c 1 1 C1 1,313,0,0,0,0,0,0,0,198,0
c 1 1 C1 2,262,0,0,0,0,0,0,0,206,0
c 1 1 C1 3,344,0,0,0,0,0,0,0,192,0
c 1 1 C1 4,313,0,0,0,0,0,0,0,0,0
c 1 1 C1 5,275,0,0,0,0,0,0,0,0,0
c 1 1 C2 1,319,0,0,0,0,0,0,0,217,0
c 1 1 C2 2,287,0,0,0,0,0,0,0,300,0
c 1 1 C2 3,275,0,0,0,0,0,0,0,205,0
c 1 1 C2 4,217,0,0,0,0,0,0,0,255,0
c 1 1 C2 5,243,0,0,0,0,0,0,0,249,0
c 1 1 D1 1,357,0,0,0,0,0,0,0,129,0
c 1 1 D1 2,452,0,0,0,0,0,0,0,186,0
c 1 1 D1 3,376,0,0,0,0,0,0,0,249,0
c 1 1 D1 4,489,0,0,0,0,0,0,0,0,0
c 1 1 D1 5,325,0,0,0,0,0,0,0,0,0
c 1 1 D2 1,287,0,0,0,0,0,0,0,249,0
c 1 1 D2 2,420,0,0,0,0,0,0,0,224,0
c 1 1 D2 3,395,0,0,0,0,0,0,0,281,0
c 1 1 D2 4,490,0,0,0,0,0,0,0,319,0
c 1 1 D2 5,503,0,0,0,0,0,0,0,294,0
c 1 1 D3 1,357,0,0,0,0,0,0,0,186,0
c 1 1 D3 2,376,0,0,0,0,0,0,0,249,0
c 1 1 D3 3,357,0,0,0,0,0,0,0,205,0
c 1 1 D3 4,389,0,0,0,0,0,0,0,186,0
c 1 1 D3 5,395,0,0,0,0,0,0,0,0,0
c 1 1 D4 1,275,0,0,0,0,0,0,0,217,0
c 1 1 D4 2,357,0,0,0,0,0,0,0,160,0
c 1 1 D4 3,268,0,0,0,0,0,0,0,306,0
c 1 1 D4 4,370,0,0,0,0,0,0,0,275,0
c 1 1 D4 5,370,0,0,0,0,0,0,0,192,0
c 2 1 D1 1,433,0,0,0,0,0,0,0,0,477
c 2 1 D1 2,471,0,0,0,0,0,0,0,0,414
c 2 1 D1 3,395,0,0,0,0,0,0,0,0,452
c 2 1 D1 4,401,0,0,0,0,0,0,0,0,408
c 2 1 D1 5,382,0,0,0,0,0,0,0,0,458
c 2 2 C1 1,414,0,0,363,160,0,0,0,230,389
c 2 2 C1 2,401,0,0,344,141,0,0,0,217,465
c 2 2 C1 3,332,0,0,294,160,0,0,0,230,471
c 2 2 C1 4,363,0,0,370,148,0,0,0,268,408
c 2 2 C1 5,420,0,0,376,0,0,0,0,0,446
c 2 2 C2 1,363,0,0,0,160,0,0,0,0,370
c 2 2 C2 2,344,0,0,0,173,0,0,0,0,427
c 2 2 C2 3,370,0,0,0,186,0,0,0,0,351
c 2 2 C2 4,382,0,0,0,116,0,0,0,0,420
c 2 2 C2 5,420,0,0,0,116,0,0,0,0,332
c 2 2 D2 1,420,0,0,0,0,0,0,0,110,319
c 2 2 D2 2,306,0,0,0,0,0,0,0,281,414
c 2 2 D2 3,338,0,0,0,0,0,0,0,324,414
c 2 2 D2 4,389,0,0,0,0,0,0,0,198,363
c 2 2 D2 5,477,0,0,0,0,0,0,0,363,395
c 2 2 D3 1,446,0,395,0,205,427,0,0,268,0
c 2 2 D3 2,357,0,401,0,217,439,0,0,287,0
c 2 2 D3 3,427,0,363,0,224,446,0,0,255,0
c 2 2 D3 4,452,0,0,0,224,490,0,0,179,0
c 2 2 D3 5,420,0,0,0,217,420,0,0,160,0
c 2 2 D4 1,0,0,363,0,160,382,0,0,332,433
c 2 2 D4 2,0,0,300,0,230,294,0,0,370,370
c 2 2 D4 3,0,0,357,0,198,268,0,0,313,446
c 2 2 D4 4,0,0,0,0,179,376,0,0,300,414
c 2 2 D4 5,0,0,0,0,230,300,0,0,363,484
c 4 1 C1 1,332,0,0,0,0,0,0,0,224,0
c 4 1 C1 2,395,0,0,0,0,0,0,0,268,0
c 4 1 C1 3,249,0,0,0,0,0,0,0,300,0
c 4 1 C1 4,389,0,0,0,0,0,0,0,275,0
c 4 1 C1 5,344,0,0,0,0,0,0,0,224,0
c 4 1 C2 1,167,0,0,0,0,0,0,0,160,0
c 4 1 C2 2,281,0,0,0,0,0,0,0,141,0
c 4 1 C2 3,275,0,0,0,0,0,0,0,255,0
c 4 1 C2 4,287,0,0,0,0,0,0,0,300,0
c 4 1 C2 5,268,0,0,0,0,0,0,0,255,0
c 4 1 D1 1,255,0,351,0,0,0,0,0,211,0
c 4 1 D1 2,408,0,351,0,0,0,0,0,255,0
c 4 1 D1 3,357,0,319,0,0,0,0,0,198,0
c 4 1 D1 4,376,0,325,0,0,0,0,0,255,0
c 4 1 D1 5,408,0,389,0,0,0,0,0,211,0
c 4 1 D2 1,287,0,351,0,0,0,0,0,306,0
c 4 1 D2 2,294,0,376,0,0,0,0,0,287,0
c 4 1 D2 3,414,0,414,0,0,0,0,0,325,0
c 4 1 D2 4,363,0,351,0,0,0,0,0,306,0
c 4 1 D2 5,389,0,376,0,0,0,0,0,248,0
c 4 1 D3 1,427,0,0,0,0,0,0,0,173,0
c 4 1 D3 2,363,0,0,0,0,0,0,0,198,0
c 4 1 D3 3,338,0,0,0,0,0,0,0,0,0
c 4 1 D3 4,370,0,0,0,0,0,0,0,0,0
c 4 1 D3 5,414,0,0,0,0,0,0,0,0,0
c 4 1 D4 1,388,0,0,0,0,0,0,0,0,0
c 4 1 D4 2,376,0,0,0,0,0,0,0,0,0
c 4 1 D4 3,382,0,0,0,0,0,0,0,0,0
c 4 1 D4 4,244,0,0,0,0,0,0,0,0,0
c 4 1 D4 5,414,0,0,0,0,0,0,0,0,0
