site,acer_rubrum,ambart,ambpsi,ambtri,ash_seedling,bromus_inermis,cirsium_arve,conium_maculatum,cornus_sp,curlydock,dogbane,forb1,hordjub,lespedeza,lythrum_sal,melilotus,mullein,poa_prat,setaria,stjohnswort,taoff,toxicodendron,all
2016 a 1 3 1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,1,3
2016 a 1 3 2,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,3
2016 a 1 3 3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
a13,0.333333333,0,0,0,0,0,0,0,1.666666667,0,0,0,0,0.333333333,0,0,0,0,0.333333333,0,0,0.666666667,2.333333333
2016 a 2 2 1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3
2016 a 2 2 2,0,0,0,0,2,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,4
2016 a 2 2 3,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
a22,0.333333333,0,0,0,1.333333333,0,0.666666667,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0.333333333,3.333333333
2016 a 3 3 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
2016 a 3 3 2,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3
2016 a 3 3 3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,3,0,0,0,1,0,0,0,4
a33,0.666666667,0,0,0,0,0,0,0,1.333333333,0,0,0,0,0,1,0,0,0,0.666666667,0,0,0,2.666666667
2016 a 4 1 1 ,0,0,0,0,0,0,6,0,1,0,0,0,0,0,0,0,0,0,5,0,0,0,6
2016 a 4 1 2,1,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3
2016 a 4 1 3 ,1,0,3,0,0,0,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6
a41,0.666666667,0,1,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0,1.666666667,0,0,0,5
2016 b 1 2 1,2,0,0,0,0,3,1,1,2,0,0,0,0,0,0,0,0,0,0,3,0,2,6
2016 b 1 2 2,3,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
2016 b 1 2 3,0,3,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3
b12,1.666666667,2,0,0,0,1,1,0.333333333,1,0,0,0,0,0,0,0,0,0,0,1,0,0.666666667,4.333333333
2016 b 2 1 1,0,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,4
2016 b 2 1 2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2016 b 2 1 3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
b21,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.333333333,2
2016 b 3 2 1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2
2016 b 3 2 2,1,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4
2016 b 3 2 3,2,3,0,0,0,0,2,0,3,0,3,0,0,0,0,3,0,0,0,0,0,1,6
b32,1,1.333333333,0,0,0,0,0.666666667,0,2.666666667,0,1,0,0,0,0,1,0,0,0,0,0,0.333333333,4
2016 b 4 3 1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,3,0,0,0,0,0,0,4
2016 b 4 3 2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,3,0,0,0,4
2016 b 4 3 3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,3
b43,0,0,0,0,0,0,0,0,1.666666667,0,0,0,0,0,0,2.333333333,0,0,1,0,0,0,3.666666667
2016 c 1 1 1,0,0,0,0,0,1,0,0,2,3,0,0,0,1,0,0,0,0,0,0,0,0,3
2016 c 1 1 2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016 c 1 1 3,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,3
c11,0.333333333,0,0,0,0,0.666666667,0,0,1,1,0,0,0,0.333333333,0,0,0,0.666666667,0,0,0,0,2
2016 c 2 3 1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,3
2016 c 2 3 2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016 c 2 3 3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,3
c23,0,0,0,0,0,0,0.333333333,0,0.333333333,0.333333333,0,0,0,0,0,0,0,0,0.666666667,1,0,0,2
2016 c 3 2 1,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,3
2016 c 3 2 2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,3
2016 c 3 2 3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,4
c32,0.666666667,0.666666667,0,0,0,0,0.666666667,0,0.333333333,0,0,0,0,0,0,2.666666667,0,0,0.333333333,0,0.333333333,0,3.333333333
2016 c 4 1 1,3,0,3,0,1,0,3,0,3,0,0,0,0,0,0,0,0,0,1,0,0,1,6
2016 c 4 1 2,1,2,0,2,0,0,2,0,2,0,0,0,1,0,0,2,0,0,2,0,0,1,6
2016 c 4 1 3,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,5
c41,1.333333333,1,1,0.666666667,0.333333333,0,1.666666667,0,2,0,0,0.333333333,0.333333333,0,0,1,0,0,1,0,0,0.666666667,5.666666667
