"","year","block","level","diversity","transect","quadrat","treat","bare","litter","unit","replicate"
"2016 a 3 2 C2 4",2016,"a",3,2,"C2",4,"control",0,97.5,"a 3 2 C2","a 3"
"2016 a 3 2 C2 7",2016,"a",3,2,"C2",7,"control",0,85,"a 3 2 C2","a 3"
"2016 a 3 2 C2 8",2016,"a",3,2,"C2",8,"control",0,97.5,"a 3 2 C2","a 3"
"2016 a 3 2 D1 1",2016,"a",3,2,"D1",1,"biomass",0,85,"a 3 2 D1","a 3"
"2016 a 3 2 D1 4",2016,"a",3,2,"D1",4,"biomass",0,85,"a 3 2 D1","a 3"
"2016 a 3 2 D1 5",2016,"a",3,2,"D1",5,"biomass",0,97.5,"a 3 2 D1","a 3"
"2016 a 3 2 D1 6",2016,"a",3,2,"D1",6,"biomass",0,62.5,"a 3 2 D1","a 3"
"2016 a 3 2 D2 1",2016,"a",3,2,"D2",1,"biomass_nitrogen",0,97.5,"a 3 2 D2","a 3"
"2016 a 3 2 D2 2",2016,"a",3,2,"D2",2,"biomass_nitrogen",0,0,"a 3 2 D2","a 3"
"2016 a 3 2 D2 4",2016,"a",3,2,"D2",4,"biomass_nitrogen",0,97.5,"a 3 2 D2","a 3"
"2016 a 3 2 D2 6",2016,"a",3,2,"D2",6,"biomass_nitrogen",0,97.5,"a 3 2 D2","a 3"
"2016 a 3 2 D3 3",2016,"a",3,2,"D3",3,"nitrogen",0,97.5,"a 3 2 D3","a 3"
"2016 a 3 2 D3 5",2016,"a",3,2,"D3",5,"nitrogen",0,97.5,"a 3 2 D3","a 3"
"2016 a 3 2 D3 6",2016,"a",3,2,"D3",6,"nitrogen",3,62.5,"a 3 2 D3","a 3"
"2016 a 3 2 D3 7",2016,"a",3,2,"D3",7,"nitrogen",0,85,"a 3 2 D3","a 3"
"2016 a 3 2 D4 3",2016,"a",3,2,"D4",3,"rainout",0,97.5,"a 3 2 D4","a 3"
"2016 a 3 2 D4 5",2016,"a",3,2,"D4",5,"rainout",0,85,"a 3 2 D4","a 3"
"2016 a 3 2 D4 6",2016,"a",3,2,"D4",6,"rainout",0,97.5,"a 3 2 D4","a 3"
"2016 a 3 2 D4 8",2016,"a",3,2,"D4",8,"rainout",0,97.5,"a 3 2 D4","a 3"
"2016 a 4 1 C1 1",2016,"a",4,1,"C1",1,"control",15,62.5,"a 4 1 C1","a 4"
"2016 a 4 1 C1 3",2016,"a",4,1,"C1",3,"control",3,85,"a 4 1 C1","a 4"
"2016 a 4 1 C1 5",2016,"a",4,1,"C1",5,"control",0,97.5,"a 4 1 C1","a 4"
"2016 a 4 1 C1 6",2016,"a",4,1,"C1",6,"control",0,97.5,"a 4 1 C1","a 4"
"2016 a 4 1 C2 3",2016,"a",4,1,"C2",3,"control",0,97.5,"a 4 1 C2","a 4"
"2016 a 4 1 C2 4",2016,"a",4,1,"C2",4,"control",0,85,"a 4 1 C2","a 4"
"2016 a 4 1 C2 5",2016,"a",4,1,"C2",5,"control",0,85,"a 4 1 C2","a 4"
"2016 a 4 1 C2 6",2016,"a",4,1,"C2",6,"control",0,97.5,"a 4 1 C2","a 4"
"2016 a 4 1 D1 1",2016,"a",4,1,"D1",1,"nitrogen",0,97.5,"a 4 1 D1","a 4"
"2016 a 4 1 D1 3",2016,"a",4,1,"D1",3,"nitrogen",0,97.5,"a 4 1 D1","a 4"
"2016 a 4 1 D1 7",2016,"a",4,1,"D1",7,"nitrogen",0,97.5,"a 4 1 D1","a 4"
"2016 a 4 1 D1 8",2016,"a",4,1,"D1",8,"nitrogen",0,97.5,"a 4 1 D1","a 4"
"2016 a 4 1 D2 3",2016,"a",4,1,"D2",3,"rainout",0,97.5,"a 4 1 D2","a 4"
"2016 a 4 1 D2 6",2016,"a",4,1,"D2",6,"rainout",0,97.5,"a 4 1 D2","a 4"
"2016 a 4 1 D2 7",2016,"a",4,1,"D2",7,"rainout",0,85,"a 4 1 D2","a 4"
"2016 a 4 1 D2 8",2016,"a",4,1,"D2",8,"rainout",0,97.5,"a 4 1 D2","a 4"
"2016 a 4 1 D3 4",2016,"a",4,1,"D3",4,"biomass_nitrogen",3,62.5,"a 4 1 D3","a 4"
"2016 a 4 1 D3 5",2016,"a",4,1,"D3",5,"biomass_nitrogen",0,97.5,"a 4 1 D3","a 4"
"2016 a 4 1 D3 6",2016,"a",4,1,"D3",6,"biomass_nitrogen",62.5,37.5,"a 4 1 D3","a 4"
"2016 a 4 1 D3 8",2016,"a",4,1,"D3",8,"biomass_nitrogen",0,97.5,"a 4 1 D3","a 4"
"2016 a 4 1 D4 2",2016,"a",4,1,"D4",2,"biomass",0,97.5,"a 4 1 D4","a 4"
"2016 a 4 1 D4 6",2016,"a",4,1,"D4",6,"biomass",3,85,"a 4 1 D4","a 4"
"2016 a 4 1 D4 7",2016,"a",4,1,"D4",7,"biomass",0,97.5,"a 4 1 D4","a 4"
"2016 a 4 1 D4 8",2016,"a",4,1,"D4",8,"biomass",0,97.5,"a 4 1 D4","a 4"
"2016 b 2 1 C1 2",2016,"b",2,1,"C1",2,"control",0,85,"b 2 1 C1","b 2"
"2016 b 2 1 C1 5",2016,"b",2,1,"C1",5,"control",0,97.5,"b 2 1 C1","b 2"
"2016 b 2 1 C1 6",2016,"b",2,1,"C1",6,"control",0,97.5,"b 2 1 C1","b 2"
"2016 b 2 1 C1 7",2016,"b",2,1,"C1",7,"control",0,97.5,"b 2 1 C1","b 2"
"2016 b 2 1 C2 2",2016,"b",2,1,"C2",2,"control",0,97.5,"b 2 1 C2","b 2"
"2016 b 2 1 C2 5",2016,"b",2,1,"C2",5,"control",0,97.5,"b 2 1 C2","b 2"
"2016 b 2 1 C2 7",2016,"b",2,1,"C2",7,"control",0,97.5,"b 2 1 C2","b 2"
"2016 b 2 1 C2 8",2016,"b",2,1,"C2",8,"control",0,97.5,"b 2 1 C2","b 2"
"2016 b 2 1 D1 1",2016,"b",2,1,"D1",1,"biomass",0,97.5,"b 2 1 D1","b 2"
"2016 b 2 1 D1 4",2016,"b",2,1,"D1",4,"biomass",0,97.5,"b 2 1 D1","b 2"
"2016 b 2 1 D1 7",2016,"b",2,1,"D1",7,"biomass",0,97.5,"b 2 1 D1","b 2"
"2016 b 2 1 D1 8",2016,"b",2,1,"D1",8,"biomass",0,97.5,"b 2 1 D1","b 2"
"2016 b 2 1 D2 1",2016,"b",2,1,"D2",1,"biomass_nitrogen",0,97.5,"b 2 1 D2","b 2"
"2016 b 2 1 D2 5",2016,"b",2,1,"D2",5,"biomass_nitrogen",0,97.5,"b 2 1 D2","b 2"
"2016 b 2 1 D2 6",2016,"b",2,1,"D2",6,"biomass_nitrogen",0,97.5,"b 2 1 D2","b 2"
"2016 b 2 1 D2 8",2016,"b",2,1,"D2",8,"biomass_nitrogen",0,85,"b 2 1 D2","b 2"
"2016 b 2 1 D3 2",2016,"b",2,1,"D3",2,"nitrogen",0,97.5,"b 2 1 D3","b 2"
"2016 b 2 1 D3 4",2016,"b",2,1,"D3",4,"nitrogen",0,97.5,"b 2 1 D3","b 2"
"2016 b 2 1 D3 5",2016,"b",2,1,"D3",5,"nitrogen",0,97.5,"b 2 1 D3","b 2"
"2016 b 2 1 D3 8",2016,"b",2,1,"D3",8,"nitrogen",0,97.5,"b 2 1 D3","b 2"
"2016 b 2 1 D4 3",2016,"b",2,1,"D4",3,"rainout",0,97.5,"b 2 1 D4","b 2"
"2016 b 2 1 D4 5",2016,"b",2,1,"D4",5,"rainout",3,85,"b 2 1 D4","b 2"
"2016 b 2 1 D4 6",2016,"b",2,1,"D4",6,"rainout",0,97.5,"b 2 1 D4","b 2"
"2016 b 2 1 D4 7",2016,"b",2,1,"D4",7,"rainout",3,85,"b 2 1 D4","b 2"
"2016 b 4 2 C1 2",2016,"b",4,2,"C1",2,"control",0,97.5,"b 4 2 C1","b 4"
"2016 b 4 2 C1 5",2016,"b",4,2,"C1",5,"control",0,97.5,"b 4 2 C1","b 4"
"2016 b 4 2 C1 6",2016,"b",4,2,"C1",6,"control",0,97.5,"b 4 2 C1","b 4"
"2016 b 4 2 C1 7",2016,"b",4,2,"C1",7,"control",0,97.5,"b 4 2 C1","b 4"
"2016 b 4 2 C2 1",2016,"b",4,2,"C2",1,"control",0,97.5,"b 4 2 C2","b 4"
"2016 b 4 2 C2 2",2016,"b",4,2,"C2",2,"control",0,0,"b 4 2 C2","b 4"
"2016 b 4 2 C2 3",2016,"b",4,2,"C2",3,"control",0,97.5,"b 4 2 C2","b 4"
"2016 b 4 2 C2 7",2016,"b",4,2,"C2",7,"control",0,97.5,"b 4 2 C2","b 4"
"2016 b 4 2 D1 3",2016,"b",4,2,"D1",3,"rainout",0,97.5,"b 4 2 D1","b 4"
"2016 b 4 2 D1 4",2016,"b",4,2,"D1",4,"rainout",0,85,"b 4 2 D1","b 4"
"2016 b 4 2 D1 5",2016,"b",4,2,"D1",5,"rainout",0,97.5,"b 4 2 D1","b 4"
"2016 b 4 2 D1 7",2016,"b",4,2,"D1",7,"rainout",0,85,"b 4 2 D1","b 4"
"2016 b 4 2 D2 1",2016,"b",4,2,"D2",1,"nitrogen",0,85,"b 4 2 D2","b 4"
"2016 b 4 2 D2 4",2016,"b",4,2,"D2",4,"nitrogen",3,62.5,"b 4 2 D2","b 4"
"2016 b 4 2 D2 6",2016,"b",4,2,"D2",6,"nitrogen",0,97.5,"b 4 2 D2","b 4"
"2016 b 4 2 D2 7",2016,"b",4,2,"D2",7,"nitrogen",0,97.5,"b 4 2 D2","b 4"
"2016 b 4 2 D3 5",2016,"b",4,2,"D3",5,"biomass_nitrogen",0,85,"b 4 2 D3","b 4"
"2016 b 4 2 D3 7",2016,"b",4,2,"D3",7,"biomass_nitrogen",0,85,"b 4 2 D3","b 4"
"2016 b 4 2 D3 8",2016,"b",4,2,"D3",8,"biomass_nitrogen",0,62.5,"b 4 2 D3","b 4"
"2016 b 4 2 D4 4",2016,"b",4,2,"D4",4,"biomass",0,97.5,"b 4 2 D4","b 4"
"2016 b 4 2 D4 6",2016,"b",4,2,"D4",6,"biomass",0,97.5,"b 4 2 D4","b 4"
"2016 c 1 1 C1 2",2016,"c",1,1,"C1",2,"control",3,85,"c 1 1 C1","c 1"
"2016 c 1 1 C1 5",2016,"c",1,1,"C1",5,"control",0,85,"c 1 1 C1","c 1"
"2016 c 1 1 C1 7",2016,"c",1,1,"C1",7,"control",0,62.5,"c 1 1 C1","c 1"
"2016 c 1 1 C1 8",2016,"c",1,1,"C1",8,"control",0,85,"c 1 1 C1","c 1"
"2016 c 1 1 C2 2",2016,"c",1,1,"C2",2,"control",0,62.5,"c 1 1 C2","c 1"
"2016 c 1 1 C2 3",2016,"c",1,1,"C2",3,"control",0,85,"c 1 1 C2","c 1"
"2016 c 1 1 C2 4",2016,"c",1,1,"C2",4,"control",0,97.5,"c 1 1 C2","c 1"
"2016 c 1 1 C2 5",2016,"c",1,1,"C2",5,"control",0,85,"c 1 1 C2","c 1"
"2016 c 1 1 D1 1",2016,"c",1,1,"D1",1,"biomass",0,85,"c 1 1 D1","c 1"
"2016 c 1 1 D1 2",2016,"c",1,1,"D1",2,"biomass",0,97.5,"c 1 1 D1","c 1"
"2016 c 1 1 D1 3",2016,"c",1,1,"D1",3,"biomass",15,62.5,"c 1 1 D1","c 1"
"2016 c 1 1 D1 7",2016,"c",1,1,"D1",7,"biomass",0,97.5,"c 1 1 D1","c 1"
"2016 c 1 1 D2 1",2016,"c",1,1,"D2",1,"nitrogen",0,97.5,"c 1 1 D2","c 1"
"2016 c 1 1 D2 3",2016,"c",1,1,"D2",3,"nitrogen",0,97.5,"c 1 1 D2","c 1"
"2016 c 1 1 D2 4",2016,"c",1,1,"D2",4,"nitrogen",3,85,"c 1 1 D2","c 1"
"2016 c 1 1 D2 8",2016,"c",1,1,"D2",8,"nitrogen",0,97.5,"c 1 1 D2","c 1"
"2016 c 1 1 D3 1",2016,"c",1,1,"D3",1,"biomass_nitrogen",0,97.5,"c 1 1 D3","c 1"
"2016 c 1 1 D3 4",2016,"c",1,1,"D3",4,"biomass_nitrogen",3,85,"c 1 1 D3","c 1"
"2016 c 1 1 D3 7",2016,"c",1,1,"D3",7,"biomass_nitrogen",0,97.5,"c 1 1 D3","c 1"
"2016 c 1 1 D3 8",2016,"c",1,1,"D3",8,"biomass_nitrogen",0,97.5,"c 1 1 D3","c 1"
"2016 c 1 1 D4 1",2016,"c",1,1,"D4",1,"rainout",0,85,"c 1 1 D4","c 1"
"2016 c 1 1 D4 2",2016,"c",1,1,"D4",2,"rainout",3,85,"c 1 1 D4","c 1"
"2016 c 1 1 D4 3",2016,"c",1,1,"D4",3,"rainout",0,97.5,"c 1 1 D4","c 1"
"2016 c 1 1 D4 5",2016,"c",1,1,"D4",5,"rainout",0,97.5,"c 1 1 D4","c 1"
"2016 c 2 2 C1 3",2016,"c",2,2,"C1",3,"control",0,97.5,"c 2 2 C1","c 2"
"2016 c 2 2 C1 4",2016,"c",2,2,"C1",4,"control",0,97.5,"c 2 2 C1","c 2"
"2016 c 2 2 C1 5",2016,"c",2,2,"C1",5,"control",0,97.5,"c 2 2 C1","c 2"
"2016 c 2 2 C1 8",2016,"c",2,2,"C1",8,"control",0,97.5,"c 2 2 C1","c 2"
"2016 c 2 2 C2 1",2016,"c",2,2,"C2",1,"control",0,97.5,"c 2 2 C2","c 2"
"2016 c 2 2 C2 3",2016,"c",2,2,"C2",3,"control",0,97.5,"c 2 2 C2","c 2"
"2016 c 2 2 C2 7",2016,"c",2,2,"C2",7,"control",0,85,"c 2 2 C2","c 2"
"2016 c 2 2 C2 8",2016,"c",2,2,"C2",8,"control",0,97.5,"c 2 2 C2","c 2"
"2016 c 2 2 D1 1",2016,"c",2,2,"D1",1,"biomass_nitrogen",0,85,"c 2 2 D1","c 2"
"2016 c 2 2 D1 3",2016,"c",2,2,"D1",3,"biomass_nitrogen",0,97.5,"c 2 2 D1","c 2"
"2016 c 2 2 D1 4",2016,"c",2,2,"D1",4,"biomass_nitrogen",0,97.5,"c 2 2 D1","c 2"
"2016 c 2 2 D1 7",2016,"c",2,2,"D1",7,"biomass_nitrogen",0,97.5,"c 2 2 D1","c 2"
"2016 c 2 2 D2 2",2016,"c",2,2,"D2",2,"biomass",0,85,"c 2 2 D2","c 2"
"2016 c 2 2 D2 6",2016,"c",2,2,"D2",6,"biomass",0,85,"c 2 2 D2","c 2"
"2016 c 2 2 D2 7",2016,"c",2,2,"D2",7,"biomass",0,97.5,"c 2 2 D2","c 2"
"2016 c 2 2 D2 8",2016,"c",2,2,"D2",8,"biomass",0,85,"c 2 2 D2","c 2"
"2016 c 2 2 D3 1",2016,"c",2,2,"D3",1,"nitrogen",0,85,"c 2 2 D3","c 2"
"2016 c 2 2 D3 2",2016,"c",2,2,"D3",2,"nitrogen",0,85,"c 2 2 D3","c 2"
"2016 c 2 2 D3 6",2016,"c",2,2,"D3",6,"nitrogen",0,85,"c 2 2 D3","c 2"
"2016 c 2 2 D3 7",2016,"c",2,2,"D3",7,"nitrogen",0,97.5,"c 2 2 D3","c 2"
"2016 c 2 2 D4 2",2016,"c",2,2,"D4",2,"rainout",0,62.5,"c 2 2 D4","c 2"
"2016 c 2 2 D4 3",2016,"c",2,2,"D4",3,"rainout",0,85,"c 2 2 D4","c 2"
"2016 c 2 2 D4 5",2016,"c",2,2,"D4",5,"rainout",0,85,"c 2 2 D4","c 2"
"2016 c 2 2 D4 8",2016,"c",2,2,"D4",8,"rainout",0,97.5,"c 2 2 D4","c 2"
"2016 c 4 1 C1 1",2016,"c",4,1,"C1",1,"control",0,97.5,"c 4 1 C1","c 4"
"2016 c 4 1 C1 2",2016,"c",4,1,"C1",2,"control",0,97.5,"c 4 1 C1","c 4"
"2016 c 4 1 C1 6",2016,"c",4,1,"C1",6,"control",0,97.5,"c 4 1 C1","c 4"
"2016 c 4 1 C1 7",2016,"c",4,1,"C1",7,"control",0,85,"c 4 1 C1","c 4"
"2016 c 4 1 C2 1",2016,"c",4,1,"C2",1,"control",0,97.5,"c 4 1 C2","c 4"
"2016 c 4 1 C2 3",2016,"c",4,1,"C2",3,"control",0,97.5,"c 4 1 C2","c 4"
"2016 c 4 1 C2 5",2016,"c",4,1,"C2",5,"control",0,97.5,"c 4 1 C2","c 4"
"2016 c 4 1 C2 7",2016,"c",4,1,"C2",7,"control",0,97.5,"c 4 1 C2","c 4"
"2016 c 4 1 D1 3",2016,"c",4,1,"D1",3,"rainout",3,85,"c 4 1 D1","c 4"
"2016 c 4 1 D1 4",2016,"c",4,1,"D1",4,"rainout",3,85,"c 4 1 D1","c 4"
"2016 c 4 1 D1 5",2016,"c",4,1,"D1",5,"rainout",0,85,"c 4 1 D1","c 4"
"2016 c 4 1 D1 8",2016,"c",4,1,"D1",8,"rainout",0,97.5,"c 4 1 D1","c 4"
"2016 c 4 1 D2 2",2016,"c",4,1,"D2",2,"nitrogen",0,97.5,"c 4 1 D2","c 4"
"2016 c 4 1 D2 3",2016,"c",4,1,"D2",3,"nitrogen",0,97.5,"c 4 1 D2","c 4"
"2016 c 4 1 D2 5",2016,"c",4,1,"D2",5,"nitrogen",0,97.5,"c 4 1 D2","c 4"
"2016 c 4 1 D2 7",2016,"c",4,1,"D2",7,"nitrogen",0,97.5,"c 4 1 D2","c 4"
"2016 c 4 1 D3 2",2016,"c",4,1,"D3",2,"biomass",0,97.5,"c 4 1 D3","c 4"
"2016 c 4 1 D3 4",2016,"c",4,1,"D3",4,"biomass",0,97.5,"c 4 1 D3","c 4"
"2016 c 4 1 D3 6",2016,"c",4,1,"D3",6,"biomass",0,97.5,"c 4 1 D3","c 4"
"2016 c 4 1 D3 7",2016,"c",4,1,"D3",7,"biomass",0,85,"c 4 1 D3","c 4"
"2016 c 4 1 D4 1",2016,"c",4,1,"D4",1,"biomass_nitrogen",0,97.5,"c 4 1 D4","c 4"
"2016 c 4 1 D4 2",2016,"c",4,1,"D4",2,"biomass_nitrogen",0,85,"c 4 1 D4","c 4"
"2016 c 4 1 D4 5",2016,"c",4,1,"D4",5,"biomass_nitrogen",15,62.5,"c 4 1 D4","c 4"
"2016 c 4 1 D4 6",2016,"c",4,1,"D4",6,"biomass_nitrogen",3,62.5,"c 4 1 D4","c 4"
